Date,Close,High,Low,Open,Volume
2021-01-01,2569.26806640625,2579.5776027437464,2526.055754523553,2526.933161871425,2681440
2021-01-04,2666.835205078125,2676.749949034454,2580.4105980208788,2588.351175826154,5113293
2021-01-05,2713.820556640625,2732.465460238625,2666.9670963421863,2666.9670963421863,5801309
2021-01-06,2677.408935546875,2731.808199516695,2664.861965692319,2719.9631984910084,3726716
2021-01-07,2661.000732421875,2703.160193337854,2632.4410837877763,2698.027275276198,3717827
2021-01-08,2738.301025390625,2744.530704425791,2684.866993460013,2711.1892188860916,5879039
2021-01-11,2787.04052734375,2834.0257336650902,2760.8061333263317,2834.0257336650902,9508039
2021-01-12,2785.63671875,2816.477500398718,2763.8330611389288,2787.0404419371316,3611458
2021-01-13,2771.685791015625,2787.523035871465,2742.994614697251,2785.7682212439095,3572801
2021-01-14,2857.615234375,2871.5046923112336,2743.0714714427045,2773.4876180137585,6931542
2021-01-15,2842.364013671875,2878.0984117702756,2821.8374776367086,2843.814405032633,4131692
2021-01-18,2832.16650390625,2862.9342008525427,2801.970121198734,2857.0004307271865,4160906
2021-01-19,2866.40625,2882.4934015692174,2841.176783736417,2842.055860711583,2975735
2021-01-20,2908.689697265625,2925.523934097384,2872.0322333632444,2874.581470532571,3453446
2021-01-21,2877.96630859375,2908.997554851266,2867.637153892933,2905.349471166,2778546
2021-01-22,2903.67919921875,2922.9308988404446,2849.879517446125,2849.879517446125,3052459
2021-01-25,2893.30615234375,2935.9413865390143,2882.1856996021884,2908.8217754354887,2272887
2021-01-27,2866.71337890625,2906.6233789065977,2836.7807715968115,2900.9533765941983,2786662
2021-01-28,2810.013427734375,2878.976970563586,2798.8051967802726,2839.418508372636,3083938
2021-01-29,2735.1162109375,2827.858831085349,2725.1386015007743,2821.881064777732,5445659
2021-02-01,2759.730224609375,2782.2784618413975,2675.9981476771814,2725.138461835176,3985846
2021-02-02,2816.0791015625,2834.144176379668,2769.092480023559,2790.190327490405,2881837
2021-02-03,2813.09033203125,2844.69310653024,2780.2127242168735,2824.474335995569,2505866
2021-02-04,2802.892578125,2846.319103885096,2791.948114115194,2827.1551853670535,2057261
2021-02-05,2776.081298828125,2818.189217864985,2750.632061413705,2812.1234575107587,2366135
2021-02-08,2825.441650390625,2835.902581505412,2773.619886265713,2803.8162689744304,2526592
2021-02-09,2792.739013671875,2853.307534257828,2781.3990087439984,2808.650389676699,2658751
2021-02-10,2824.73828125,2830.1005223957927,2775.5099672593133,2799.860358220309,2127983
2021-02-11,2818.321044921875,2830.0128127044054,2799.904423500234,2826.23273843538,1165882
2021-02-12,2804.959228515625,2853.044702531853,2797.2233071811297,2799.157233860146,2777404
2021-02-15,2760.16943359375,2820.9575097276024,2752.873053078697,2820.9575097276024,2630853
2021-02-16,2732.87451171875,2784.6080623380185,2725.1385915030614,2769.0924397531107,3435770
2021-02-17,2701.49169921875,2754.0165516150078,2677.2730841859975,2729.6221641004277,3678426
2021-02-18,2687.64599609375,2723.292394683918,2664.482232638335,2694.3708489067953,4189909
2021-02-19,2700.39306640625,2713.842774296299,2651.4283004060762,2688.217762764799,3725028
2021-02-22,2600.705078125,2721.622151723607,2587.2551582887345,2721.622151723607,5366696
2021-02-23,2619.825439453125,2661.8453662965508,2609.100742129512,2610.8588962684134,3832829
2021-02-24,2591.6064453125,2640.175439363058,2567.915153442922,2612.6162953530884,3774549
2021-02-25,2633.099853515625,2663.5157944025145,2609.496545982808,2614.375467131979,4224073
2021-02-26,2544.312744140625,2612.924750692814,2531.7418994246586,2602.068063297566,5553153
2021-03-01,2570.5966796875,2606.463060851563,2550.9054425793493,2572.179061062959,3265871
2021-03-02,2642.81298828125,2659.2076870166584,2591.518764074416,2602.06768713035,3306469
2021-03-03,2689.1845703125,2693.49196181922,2634.505808531232,2667.9987284991294,3509857
2021-03-04,2680.92138671875,2708.8320846205593,2651.3405281757014,2657.4500710919388,3916760
2021-03-05,2644.307373046875,2692.7883793543356,2634.2419852330613,2651.383985179007,3203686
2021-03-08,2643.340087890625,2666.2400827282695,2633.714239318792,2651.2957762968877,2003125
2021-03-09,2682.020263671875,2696.0415006414014,2630.28670456108,2643.340870863011,1942397
2021-03-10,2699.6015625,2719.161026418552,2689.9757119446654,2703.161867395375,3053778
2021-03-12,2688.173095703125,2740.0826282639473,2673.580548301813,2703.1613993941733,2938317
2021-03-15,2695.3818359375,2724.2596010016764,2673.2731354133907,2673.2731354133907,3097083
2021-03-16,2733.97412109375,2761.181517831595,2689.9762637900926,2689.9762637900926,4894756
